=== Events Passing HLT_HT350 ===
Event 1068 | HLT_HT350 = true (1)
Event 22246 | HLT_HT350 = true (1)
Event 22664 | HLT_HT350 = true (1)
Event 22762 | HLT_HT350 = true (1)
Event 22851 | HLT_HT350 = true (1)
Event 23160 | HLT_HT350 = true (1)
Event 23499 | HLT_HT350 = true (1)
Event 24182 | HLT_HT350 = true (1)
Event 24564 | HLT_HT350 = true (1)
Event 25190 | HLT_HT350 = true (1)
Event 25369 | HLT_HT350 = true (1)
Event 25372 | HLT_HT350 = true (1)
Event 25793 | HLT_HT350 = true (1)
Event 26010 | HLT_HT350 = true (1)
Event 26742 | HLT_HT350 = true (1)
Event 26813 | HLT_HT350 = true (1)
Event 27332 | HLT_HT350 = true (1)
Event 27550 | HLT_HT350 = true (1)
Event 27562 | HLT_HT350 = true (1)
Event 27792 | HLT_HT350 = true (1)
Event 28450 | HLT_HT350 = true (1)
Event 28694 | HLT_HT350 = true (1)
Event 28914 | HLT_HT350 = true (1)
Event 29873 | HLT_HT350 = true (1)
Event 29955 | HLT_HT350 = true (1)
Event 30404 | HLT_HT350 = true (1)
Event 30675 | HLT_HT350 = true (1)
Event 30703 | HLT_HT350 = true (1)
Event 31097 | HLT_HT350 = true (1)
Event 31116 | HLT_HT350 = true (1)
Event 31612 | HLT_HT350 = true (1)
Event 31804 | HLT_HT350 = true (1)
Event 31909 | HLT_HT350 = true (1)
Event 32149 | HLT_HT350 = true (1)
Event 32634 | HLT_HT350 = true (1)
Event 32829 | HLT_HT350 = true (1)
Event 33315 | HLT_HT350 = true (1)
Event 33364 | HLT_HT350 = true (1)
Event 33549 | HLT_HT350 = true (1)
Event 34518 | HLT_HT350 = true (1)
Event 35050 | HLT_HT350 = true (1)
Event 35368 | HLT_HT350 = true (1)
Event 35460 | HLT_HT350 = true (1)
Event 35803 | HLT_HT350 = true (1)
Event 36163 | HLT_HT350 = true (1)
Event 36304 | HLT_HT350 = true (1)
Event 36427 | HLT_HT350 = true (1)
Event 36800 | HLT_HT350 = true (1)
Event 36972 | HLT_HT350 = true (1)
Event 37096 | HLT_HT350 = true (1)
Event 37942 | HLT_HT350 = true (1)
Event 38252 | HLT_HT350 = true (1)
Event 38528 | HLT_HT350 = true (1)
Event 38672 | HLT_HT350 = true (1)
Event 38779 | HLT_HT350 = true (1)
Event 39207 | HLT_HT350 = true (1)
Event 39687 | HLT_HT350 = true (1)
Event 39966 | HLT_HT350 = true (1)
Event 40128 | HLT_HT350 = true (1)
Event 40366 | HLT_HT350 = true (1)
Event 40392 | HLT_HT350 = true (1)
Event 40403 | HLT_HT350 = true (1)
Event 40417 | HLT_HT350 = true (1)
Event 40711 | HLT_HT350 = true (1)
Event 41066 | HLT_HT350 = true (1)
Event 41225 | HLT_HT350 = true (1)
Event 41294 | HLT_HT350 = true (1)
Event 41298 | HLT_HT350 = true (1)
Event 41459 | HLT_HT350 = true (1)
Event 41608 | HLT_HT350 = true (1)
Event 41993 | HLT_HT350 = true (1)
Event 42865 | HLT_HT350 = true (1)
Event 43823 | HLT_HT350 = true (1)
Event 43824 | HLT_HT350 = true (1)
Event 43886 | HLT_HT350 = true (1)
Event 43984 | HLT_HT350 = true (1)
Event 44214 | HLT_HT350 = true (1)
Event 44560 | HLT_HT350 = true (1)
Event 44608 | HLT_HT350 = true (1)
Event 45032 | HLT_HT350 = true (1)
Event 45316 | HLT_HT350 = true (1)
Event 46026 | HLT_HT350 = true (1)
Event 46315 | HLT_HT350 = true (1)
Event 46413 | HLT_HT350 = true (1)
Event 46647 | HLT_HT350 = true (1)
Event 46708 | HLT_HT350 = true (1)
Event 46748 | HLT_HT350 = true (1)
Event 47659 | HLT_HT350 = true (1)
Event 47792 | HLT_HT350 = true (1)
Event 48342 | HLT_HT350 = true (1)
Event 48856 | HLT_HT350 = true (1)
Event 49240 | HLT_HT350 = true (1)
Event 49572 | HLT_HT350 = true (1)
Event 49578 | HLT_HT350 = true (1)
Event 50293 | HLT_HT350 = true (1)
Event 50825 | HLT_HT350 = true (1)
Event 50937 | HLT_HT350 = true (1)
Event 51254 | HLT_HT350 = true (1)
Event 51297 | HLT_HT350 = true (1)
Event 52208 | HLT_HT350 = true (1)
Event 53403 | HLT_HT350 = true (1)
Event 53407 | HLT_HT350 = true (1)
Event 53610 | HLT_HT350 = true (1)
Event 53712 | HLT_HT350 = true (1)
Event 54371 | HLT_HT350 = true (1)
Event 54581 | HLT_HT350 = true (1)
Event 54619 | HLT_HT350 = true (1)
Event 55405 | HLT_HT350 = true (1)
Event 56146 | HLT_HT350 = true (1)
Event 56472 | HLT_HT350 = true (1)
Event 56615 | HLT_HT350 = true (1)
Event 56753 | HLT_HT350 = true (1)
Event 57250 | HLT_HT350 = true (1)
Event 58091 | HLT_HT350 = true (1)
Event 58294 | HLT_HT350 = true (1)
Event 58386 | HLT_HT350 = true (1)
Event 58673 | HLT_HT350 = true (1)
Event 59233 | HLT_HT350 = true (1)
Event 59583 | HLT_HT350 = true (1)
Event 59777 | HLT_HT350 = true (1)
Event 59933 | HLT_HT350 = true (1)
Event 60740 | HLT_HT350 = true (1)

Summary: 178 / 60806 events passed.
